id,condition,sentiment,uncertainty,resolution,first_sentence,second_sentence,
22,PosHghNoRes,positive,high,low,Mia se balade avec un ami lorsque soudain il sort un cadeau de son sac.,Son ami lui demande si elle aime le papier cadeau.,
23,PosHghNoRes,positive,high,low,Max a un nouveau match sur Tinder!,"Il tente d'ouvrir l'application pour voir de qui il s'agit, mais son téléphone reste figé sur la page d'accueil.",
24,PosHghNoRes,positive,high,low,"Michael s'est mis au régime et à la musculation. Il aimerait savoir s'il a perdu du poids, donc il monte sur sa balance.","En posant ses pieds dessus, il remarque que la balance n'a plus de batterie.",
25,PosHghNoRes,positive,high,low,Soline a travaillé d'arrache-pied sur son devoir le mois passé. Elle se rend en classe et espère recevoir une très bonne note.,Son professeur lui dit qu'il n'a pas encore fini de corriger les devoirs.,
26,PosHghNoRes,positive,high,low,Karl est avec un ami lorsqu'ils croisent une fille avec qui ils ont passé la soirée il y a quelques semaines. Karl s'efforce de se rappeler son prénom mais n'y parvient pas.,Il continue de discuter avec elle comme si de rien n'était,
27,PosHghNoRes,positive,high,low,Serena entend que son examen d'algèbre a été annulé.,Elle espère que ce soit vrai car elle ne comprend rien en cours.,
28,PosHghNoRes,positive,high,low,"Robbie se dirige vers le rencard que son meilleur ami lui a arrangé. Selon ce dernier, la fille qu'il va lui presenter est magnifique.","En allant au rendez-vous, Robbie est très anxieux et il transpire beaucoup comme à son habitude.",
29,PosHghNoRes,positive,high,low,"Mark est super fan de Mc King donc ses amis lui ont pris un ticket back-stage pour son prochain concert. Même si il est enthousiaste, il est aussi très nerveux car il a l'habitude de bégayer devant les personnes qu'il ne connait pas.","Après le set de Mc King, Mark est escorté par la sécurité jusqu'aux loges.",
30,PosHghNoRes,positive,high,low,"Tom regarde un match de foot avec son équipe préférée, ils pourraient gagner la Champions League!","Les deux équipes jouent aussi bien l'une que l'autre, le match est très serré.",
31,PosLowNoUnc,positive,low,low,La maman de Kevin lui envoie un message en lui demandant ce qu'il voudrait manger pour le dîner.,Il lui répond qu'il aimerait de la lasagne.,
32,PosLowNoUnc,positive,low,low,Lucie voit une très belle robe sur Asos.,Elle décide de la commander.,
33,PosLowNoUnc,positive,low,low,Paul doit rejoindre un ami pour prendre un café.,Il monte dans le bus pour se rendre au lieu de rendez-vous.,
34,PosLowNoUnc,positive,low,low,Lena fait son jogging dans un parc.,Elle croise beaucoup de gens qui font des pique-niques.,
35,PosLowNoUnc,positive,low,low,Tyler adore les sneakers.,Il décide d'en acheter une nouvelle paire.,
36,PosLowNoUnc,positive,low,low,Laura aimerait adopter un chaton.,Elle va sur Internet pour trouver un refuge.,
37,PosLowNoUnc,positive,low,low,Léonard a envie de manger un bon plat ce soir.,Il va à son restaurant préféré.,
38,PosLowNoUnc,positive,low,low,Eva planifie un city-trip à San Francisco.,Elle voudrait trouver un vol pas cher.,
39,PosLowNoUnc,positive,low,low,Alexandre joue à la loterie chaque semaine.,Il achète toujours ses tickets chez le même vendeur.,
40,PosLowNoUnc,positive,low,low,Mike a faim.,Il décide d'acheter de la nourriture.,
41,PosLowRes,positive,high,high,Nick reçoit un message de sa maman qui lui dit qu'elle a préparé un bon repas pour lui.,"Nick rentre avec hâte à la maison et découvre qu'elle lui a fait une pizza, son plat préféré.",
42,PosLowRes,positive,high,high,Josephine se demande si une robe qu'elle a vue en ligne flatterait sa silhouette.,Elle décide d'aller au magasin physique pour l'essayer. Josephine enfile la robe qui lui va comme un gant.,
43,PosLowRes,positive,high,high,"Emmanuel est supposé rejoindre son ami pour prendre un verre d'ici peu, donc il décide de vérifier l'heure qu'il est sur son téléphone.",Il est 16h30. Vite! Il ne lui reste plus que 10 minutes pour le rejoindre.,
44,PosLowRes,positive,high,high,Emma est en train de courir dans un parc lorsqu'elle voit un homme au loin qui ressemble à son ami Marcus. Elle commence à courir dans sa direction pour vérifier que ce soit bien lui.,Emma se rapproche de l'homme et crie: 'Marcus!'. L'homme se retourne en sursautant et la salue chaleureusement.,
45,PosLowRes,positive,high,high,Erik vient d'acheter des sneakers super rares et il a hâte de voir la tête de ses amis quand il leur dira ce soir.,Les amis d'Erik adorent sa nouvelle paire et le complimentent sur son goût.,
46,PosLowRes,positive,high,high,Nelly aimerait adopter un chaton et elle espère en trouver un au refuge de la ville.,"Lorsqu'elle arrive au refuge, Nelly identifie immédiatement le chaton de ses rêves: un tout noir avec des petites oreilles.",
47,PosLowRes,positive,high,high,Andy est à son restaurant préféré et à son habitude il commande 'La Surprise du Chef' comme plat principal. Il s'agit d'une préparation dans laquelle le chef choisit les ingrédients qu'il souhaite travailler. Andy espère qu'il va aimer.,Un parfum incroyable se dégage du plat surprise. Andy se régale.,
48,PosLowRes,positive,high,high,Kim veut partir en voyage mais elle ne sait pas encore où aller. Elle commence à regarder des destinations sur Google.,Elle voit qu'il y a des vols pas chers pour Venise ce week-end et elle en réserve un immédiatement.,
49,PosLowRes,positive,high,high,Nathan a joué à la loterie avec les mêmes numéros qu'il utilise à chaque fois. Cette semaine il pourrait gagner 3 000 000 d'euros.,"Nathan compare ses numéros avec ceux gagnants...et c'est le Jackpot!!! Il a tout les numéros gagnants, il est maintenant millionnaire!",
50,PosLowRes,positive,high,high,"Philippe a un peu faim mais il a oublié son portefeuille a la maison. Il glisse sa main dans sa poche et sent qu'il a quelques pièces. Philippe adore quand ça arrive, il prend les pièces en main pour les compter.",Il voit qu'il a tout juste ce qu'il lui faut pour acheter une petit casse-croûte.,
51,NegHghNoUnc,negative,low,high,Sam rentre à la maison.,Il enlève sa veste.,
52,NegHghNoUnc,negative,low,high,C'est la veille du nouvel an et Mike entend des feux d'artifice toute la nuit.,Il met des bouchons d'oreilles pour dormir.,
53,NegHghNoUnc,negative,low,high,Julie reçoit un appel de l'hôpital pour lui rappeler qu'elle a un rendez-vous avec son dentiste.,Julie remercie le réceptionniste pour ce rappel.,
54,NegHghNoUnc,negative,low,high,Erin voyage en avion.,Elle a bouclé sa ceinture.,
55,NegHghNoUnc,negative,low,high,Ivan adore faire du voilier.,Il part souvent en navigation pendant l'été.,
56,NegHghNoUnc,negative,low,high,Lena doit retirer de l'argent.,Elle se rend à la banque près de chez elle.,
57,NegHghNoUnc,negative,low,high,Sara marche vers chez elle au milieu de la nuit.,Des voitures passent le long de la rue.,
58,NegHghNoUnc,negative,low,high,Vladimir achète des chaussettes en ligne.,Il reçoit un message de confirmation de transaction venant de sa banque.,
59,NegHghNoUnc,negative,low,high,Mady fait la fête au centre-ville.,Elle voit beaucoup de personnes qui consomment de l'alcool.,
60,NegHghNoUnc,negative,low,high,Bob aimerait avoir une petite copine.,Il commence à se soucier plus de son apparence.,
61,NegHghUnc_Res,negative,high,high,Jim habite seul et il rentre tous les jours du travail à 19h. Mais vendredi dernier en passant le seuil de sa porte un bruit inquiétant venant de l'étage l'a surpris.,"Après avoir monté les escaliers en courant, il découvre qu'un oiseau s'est introduit dans sa chambre par la fenêtre et a détruit son vase préféré.",
62,NegHghUnc_Res,negative,high,high,Il est 4 heures du matin et Mike s'apprête à aller dormir lorsque soudain il entend un homme crier 'Adieu monde cruel' suivi d'un bruit sourd.,"Le souffle coupé, il se lève pour se rapprocher de sa fenêtre. Il a à peine le temps de se gratter les paupières qu'il voit son voisin étendu à terre, inerte.",
63,NegHghUnc_Res,negative,high,high,Matéo est en retard pour aller au travail lorsque son téléphone sonne. Ça alors! On l'appelle toujours au mauvais moment! Il décroche nerveux et une voix froide lui dit qu'un de ses proches a été admis en réanimation à l'hôpital.,La voix dit à Matéo que son frère vient d'avoir un grave accident de voiture.,
64,NegHghUnc_Res,negative,high,high,Chloé est sur le point de s'endormir lorsque l'avion sur lequel elle voyage commence à faire un bruit sourd depuis le moteur gauche.,"Après quelques minutes, le pilote dit aux passagers qu'une turbine dans le moteur est déféctueuse mais que cela ne va pas influencer leur trajet. Il ajoute qu'il ne faut pas paniquer.",
65,NegHghUnc_Res,negative,high,high,Megan est en train de bronzer sur son bateau lorsqu'elle entrevoit une tempête se former à quelques noeuds.,"Il commence à pleuvoir et elle essaye de s'abriter. Des vagues de plusieurs mètres s'abattent sur le mas du bateau, Megan perd l'équilibre et tombe dans l'eau. Elle se bat contre les vagues pendant plusieurs minutes mais exténuée elle se noie.",
66,NegHghUnc_Res,negative,high,high,Arthur fait la file à la banque pour retirer de l'argent quand un homme cagoulé et armé rentre dans le bâtiment.,Arthur lâche un cri strident et se fait immédiatement tirer dessus. Il meurt avant d'arriver aux urgences.,
67,NegHghUnc_Res,negative,high,high,"Il est 3 heures du matin et Selma marche vers chez elle. Soudain, elle entend une femme crier et une voiture arriver en trombe.",Selma a à peine le temps de comprendre ce qu'il arrive que la voiture la percute. Elle décède sur le coup.,
68,NegHghUnc_Res,negative,high,high,Jean reçoit un message de sa banque le notifiant que sa transaction de € 2000 a bien eu lieu. Jean panique parce qu'il n'a pas utilisé sa carte bancaire depuis une semaine.,Il cherche partout sa carte mais ne la trouve pas. Quelqu'un a du s'en emparer pour lui soutirer de l'argent.,
69,NegHghUnc_Res,negative,high,high,Elena est de sortie en ville lorsque sa mère l'appelle en panique pour lui demander si elle est bien en sécurité. Elle poursuit confuse en criant que quelque chose d'horrible vient d'arriver au centre-ville.,La mère d'Élena lui dit qu'il y a eu une attaque à la bombe et qu'elle doit rentrer à la maison le plus vite possible.,
70,NegHghUnc_Res,negative,high,high,Paul craque pour une fille depuis des semaines mais il ne comprend pas si elle est intéressée.,"Après des semaines d'hésitation il décide enfin de se lancer et de l'inviter boire un verre. Malheureusement, il apprend qu'elle fréquente un de ses amis.",
71,NegHghUnc_NoRes,negative,high,low,Jack rentre chez lui et entend des bruits suspects à l'étage. Il est inquiet car il habite seul.,Il marche sur la pointe des pieds en se rapprochant des escaliers.,
72,NegHghUnc_NoRes,negative,high,low,Il est 4 heures du matin et John est sur le point de s'endormir lorsqu'il entend des coups de feu.,Il sursaute de son lit et regarde par sa fenêtre.,
73,NegHghUnc_NoRes,negative,high,low,Simon est en train de courir pour attraper son bus lorsque son téléphone sonne. Une voix glaciale lui dit qu'un de ses proches a eu un accident.,Simon s'arrête et le bus lui file sous le nez. Il demande qui est à l'appareil mais la ligne se coupe.,
74,NegHghUnc_NoRes,negative,high,low,Mara est dans ses pensées lorsque l'avion dans lequel elle voyage perd de l'altitude violemment. Tout le monde commence à hurler.,L'hôtesse de l'air la plus proche s'évanouit.,
75,NegHghUnc_NoRes,negative,high,low,Justine bronze en pleine mer lorsqu'elle voit une tornade se former au loin.,Un frisson parcourt sa colonne vertébrale.,
76,NegHghUnc_NoRes,negative,high,low,"Mike est dans un supermarché lorsqu'un homme cagoulé et armé crie: 'Tout le monde au sol, ceci est un hold-up!'",Les jambes de Mike commencent à trembler.,
77,NegHghUnc_NoRes,negative,high,low,Mira rentre chez elle en pleine nuit vers 3 heures du matin lorsqu'elle entend une moto arriver rapidement dans son dos et des cris stridents.,Elle se retourne pour regarder ce qu'il se passe.,
78,NegHghUnc_NoRes,negative,high,low,Barney reçoit un message de sa banque lui disant qu'il n'a plus d'argent sur son compte. Il panique car il n'a plus dépensé d'argent depuis une semaine.,Il essaie d'appeler sa banque pour expliquer la situation.,
79,NegHghUnc_NoRes,negative,high,low,Clara est au centre-ville lorsque son père l'appelle inquiet en demandant si elle va bien car une fusillade a éclaté à la gare.,Clara essaie de le calmer et lui dit de la lâcher un peu. Il exagère toujours.,
80,NegHghUnc_NoRes,negative,high,low,Olivier a un 'crush' sur une fille mais il ne comprend pas si c'est réciproque.,Olivier prend son courage à deux mains et l'invite au restaurant.,
81,NegLowNoUnc,negative,low,low,Liam est à la station et il attend son train matinal.,"Lorsque le train arrive, il monte dedans.",
82,NegLowNoUnc,negative,low,low,Bella a un devoir à rendre ce mois.,Elle est nerveuse à cause de la 'deadline'.,
83,NegLowNoUnc,negative,low,low,Emma se balade dans la rue.,Elle porte des chaussures bleues.,
84,NegLowNoUnc,negative,low,low,Jeanne fait des activités touristiques.,Elle prend beaucoup de selfies.,
85,NegLowNoUnc,negative,low,low,Bruno rentre chez lui.,Il prend son bus.,
86,NegLowNoUnc,negative,low,low,Mona dort paisiblement dans son lit.,Elle rêve que son chien court dans le jardin.,
87,NegLowNoUnc,negative,low,low,"Comme tous les matins, Ana sort son chien.",Le soleil réchauffe sa peau.,
88,NegLowNoUnc,negative,low,low,"En sortant de l'école, Justine réalise qu'elle a oublié son téléphone en classe.",Elle décide de retourner à l'école pour le récupérer.,
89,NegLowNoUnc,negative,low,low,Theo prend l'avion pour partir en vacances.,Il a préparé une grande valise avec tous ses habits préférés.,
90,NegLowNoUnc,negative,low,low,Manuel veut se réveiller tôt demain donc il met un réveil à 8 heures du matin.,Il dort paisibliment et son alarme le réveille à l'heure prévue.,
91,NegLowUnc_Res,negative,low,high,Le train de Kim est retardé.,Elle entend qu'il sera retardé de quelques heures à cause d'un problème technique qui affecte les rails de train.,
92,NegLowUnc_Res,negative,low,high,Fabian ne se souvient plus de la deadline exacte pour le devoir qu'il doit rendre ce mois-ci.,"Il vérifie et se rend compte que la 'deadline' est dans 2 jours. Son pouls accélère, il n'a même pas encore commencé le devoir!",
93,NegLowUnc_Res,negative,low,high,Mina vient de marcher sur quelque chose de collant.,Elle regarde sous sa chaussure et voit qu'un chewing-gum est collé à sa semelle.,
94,NegLowUnc_Res,negative,low,high,Olivia fait un tour touristique lorsque quelque chose de mouillé tombe sur sa tête.,Elle touche ses cheveux et comprend qu'un pigeon lui a déféqué dessus.,
95,NegLowUnc_Res,negative,low,high,Connor attend son métro en espérant qu'il ne sera pas trop rempli.,"Le métro qui arrive en station déborde de gens, Connor arrive à s'y glisser avec difficulté mais il a du mal à respirer.",
96,NegLowUnc_Res,negative,low,high,Sam se fait réveiller par l'aboiement de son chien en pleine nuit. Il se dit que c'est étrange étant donné que son chien est d'habitude très calme.,"Il se lève pour aller voir si son chien va bien. Une fois en bas des escaliers, il se gratte les yeux pour être sur de bien voir ce qu'il se passe: son chien a une souris dans la gueule.",
97,NegLowUnc_Res,negative,low,high,"Comme chaque matin, Eva se promène lorsqu'elle entend une personne crier des mots dans une langue étrangère derrière elle.",Elle se retourne et voit qu'il s'agit d'un homme bourré qui se met à vomir sur le trottoir.,
98,NegLowUnc_Res,negative,low,high,Lorena est en retard pour son rendez-vous. Elle s'apprête à sortir mais elle ne trouve pas son téléphone.,Elle se souvient soudain qu'elle l'a laissé dans les cabines à la gym ce matin.,
99,NegLowUnc_Res,negative,low,high,"La valise de Marco, contenant tous ses habits favoris, a été perdue lors de son voyage en avion.",Marco reçoit un appel de la compagnie d'avion lui disant qu'ils sont dans l'incapacité de trouver sa valise et qu'il sera remboursé à la hauteur de 300 euros pour les dommages occasionnés.,
100,NegLowUnc_Res,negative,low,high,Lia a un examen de mathématiques aujourd'hui mais son réveil n'a pas sonné. Elle s'empresse de se préparer en espérant quand-même arriver à temps.,Lia arrive à l'école à bout de souffle 3 minutes en retard mais le professeur lui interdit de rentrer en classe.,
101,NegLowUnc_NoRes,negative,low,low,Le bus de Cara est en retard.,Elle continue à attendre.,
102,NegLowUnc_NoRes,negative,low,low,Kevin ne se rappelle pas quelle est la 'deadline' pour un devoir qu'il doit rendre cette semaine.,Il essaye de vérifier la date limite dans ses e-mails mais il n'a pas de Wi-Fi.,
103,NegLowUnc_NoRes,negative,low,low,Karen vient de marcher sur quelque chose de collant.,Elle regarde sous sa chaussure mais il n'y a rien.,
104,NegLowUnc_NoRes,negative,low,low,Elena fait du tourisme lorsqu'elle sent quelque chose de chaud tomber sur son épaule.,Elle regarde son épaule mais il n'y a rien dessus.,
105,NegLowUnc_NoRes,negative,low,low,Cam attend son bus en espérant qu'il ne sera pas trop plein.,"Le bus qui arrive est hors-service, Cam continue à attendre.",
106,NegLowUnc_NoRes,negative,low,low,Adrien est réveillé par son chien qui aboie en pleine nuit. Il est surpris car son chien n'aboie jamais.,"Il se dit qu'il devrait descendre vérifier ce qu'il se passe mais il est trop fatigué. Il retourne donc dormir, tant pis si c'est des voleurs.",
107,NegLowUnc_NoRes,negative,low,low,"Comme chaque matin, Sara se balade dans son quartier lorsqu'elle entend quelqu'un chanter bruyamment.","Elle regarde derrière elle pour comprendre d'où vient cette voix, mais ne voit que des enfants aux alentours.",
108,NegLowUnc_NoRes,negative,low,low,Lucille ne trouve pas son portable.,Elle regarde partout dans la maison mais il n'y a pas de trace de son téléphone.,
109,NegLowUnc_NoRes,negative,low,low,"La valise de Simon, contenant tous ses livres favoris, a été perdue par la compagnie aérienne lors de son dérnier vol.",Simon commence à faire la file pour réclamer sa valise aux objets trouvés.,
110,NegLowUnc_NoRes,negative,low,low,"Vera a une rédaction de géographie à rendre aujourd'hui, mais elle ne l'a pas encore terminée. Elle travaille d'arrache-pied et espère y arriver à temps.",Cela fait des heures qu'elle tape frénétiquement à l'ordinateur.,
