Unnamed: 0,stimulus,first,second,groupUnc,groupRes,groupVal,valence_1,arousal_1,uncertainty_1,valence_2,arousal_2,uncertainty_2,resolution,surprise
10,"<p id = 'frst'>Comme chaque matin, Sara se balade dans son quartier lorsqu'elle entend quelqu'un chanter bruyamment.</p><p id = 'scnd'>Elle regarde derrière d'elle pour comprendre d'où vient cette voix, mais ne voit que des enfants aux alentours.</p><br><br><br><p id = 'prompt'>La phrase de résolution (en bleu) est plutôt positive ou négative?</p>","Comme chaque matin, Sara se balade dans son quartier lorsqu'elle entend quelqu'un chanter bruyamment.","Elle regarde derrière d'elle pour comprendre d'où vient cette voix, mais ne voit que des enfants aux alentours.",low unc conditions,low res conditions,neg conditions,0.1,0.3,0.2,-0.1,0.5,0.6,-0.3,0.4
11,<p id = 'frst'>Leo a commandé un écran sur Amazon.</p><p id = 'scnd'>Il reçoit son colis après 2 jours ouvrables comme prévu.</p><br><br><br><p id = 'prompt'>La phrase de résolution (en bleu) est plutôt positive ou négative?</p>,Leo a commandé un écran sur Amazon.,Il reçoit son colis après 2 jours ouvrables comme prévu.,no unc conditions,,pos conditions,0.1,0.2,0.0,0.3,0.1,-0.5,-0.8,-0.9
12,<p id = 'frst'>Karen vient de marcher sur quelque chose de collant.</p><p id = 'scnd'>Elle regarde sous sa chaussure mais il n'y a rien.</p><br><br><br><p id = 'prompt'>La phrase de résolution (en bleu) est plutôt positive ou négative?</p>,Karen vient de marcher sur quelque chose de collant.,Elle regarde sous sa chaussure mais il n'y a rien.,low unc conditions,low res conditions,neg conditions,-0.4,0.6,0.5,-0.2,0.3,0.8,-0.3,0.7
13,<p id = 'frst'>Simon est en train de courir pour attraper son bus lorsque son téléphone sonne. <br> Une voix glaciale lui dit qu'un de ses proches a eu un accident.</p><p id = 'scnd'>Simon s'arrête et le bus lui file sous le nez. Il demande qui est à l'appareil mais la ligne se coupe.</p><br><br><br><p id = 'prompt'>La phrase de résolution (en bleu) est plutôt positive ou négative?</p>,Simon est en train de courir pour attraper son bus lorsque son téléphone sonne. Une voix glaciale lui dit qu'un de ses proches a eu un accident.,Simon s'arrête et le bus lui file sous le nez. Il demande qui est à l'appareil mais la ligne se coupe.,high unc conditions,low res conditions,neg conditions,-0.8,0.9,0.7,-0.7,0.8,0.9,-0.5,0.8
14,<p id = 'frst'>Maja marche avec un ami lorsqu'il sort un cadeau de son sac.</p><p id = 'scnd'>Elle déballe le cadeau et voit qu'il s'agit du magnifique pull qu'elle voulait depuis des mois.</p><br><br><br><p id = 'prompt'>La phrase de résolution (en bleu) est plutôt positive ou négative?</p>,Maja marche avec un ami lorsqu'il sort un cadeau de son sac.,Elle déballe le cadeau et voit qu'il s'agit du magnifique pull qu'elle voulait depuis des mois.,high unc conditions,high res conditions,pos conditions,0.2,0.3,0.5,0.9,0.8,-0.7,-0.6,0.7
15,"<p id = 'frst'>Robbie se dirige vers le rencard que son meilleur ami lui a arrangé. <br> Selon ce dernier, la fille qu'il va lui presenter est magnifique.</p><p id = 'scnd'>En allant au rendez-vous, Robbie est très anxieux et il transpire beaucoup comme à son habitude.</p><br><br><br><p id = 'prompt'>La phrase de résolution (en bleu) est plutôt positive ou négative?</p>","Robbie se dirige vers le rencard que son meilleur ami lui a arrangé. Selon ce dernier, la fille qu'il va lui presenter est magnifique.","En allant au rendez-vous, Robbie est très anxieux et il transpire beaucoup comme à son habitude.",high unc conditions,low res conditions,pos conditions,0.7,0.5,-0.3,-0.6,0.8,0.4,-0.2,0.5
16,<p id = 'frst'>Matt a une copine.</p><p id = 'scnd'>Il lui fait beaucoup de cadeaux.</p><br><br><br><p id = 'prompt'>La phrase de résolution (en bleu) est plutôt positive ou négative?</p>,Matt a une copine.,Il lui fait beaucoup de cadeaux.,no unc conditions,,pos conditions,0.5,0.2,-0.3,0.7,0.4,-0.5,-0.2,0.1
17,<p id = 'frst'>Le train de Kim est retardé.</p><p id = 'scnd'>Elle entend qu'il sera retardé de quelques heures à cause d'un problème technique qui affecte les rails de train.</p><br><br><br><p id = 'prompt'>La phrase de résolution (en bleu) est plutôt positive ou négative?</p>,Le train de Kim est retardé.,Elle entend qu'il sera retardé de quelques heures à cause d'un problème technique qui affecte les rails de train.,low unc conditions,high res conditions,neg conditions,-0.3,0.2,0.5,-0.6,0.5,-0.2,-0.4,0.3
18,"<p id = 'frst'>Il est 3 heures du matin et Selma marche vers chez elle. <br> Soudain, elle entend une femme crier et une voiture arriver en trombe.</p><p id = 'scnd'>Selma a à peine le temps de comprendre ce qu'il arrive que la voiture la percute. Elle décède sur le coup</p><br><br><br><p id = 'prompt'>La phrase de résolution (en bleu) est plutôt positive ou négative?</p>","Il est 3 heures du matin et Selma marche vers chez elle. Soudain, elle entend une femme crier et une voiture arriver en trombe.",Selma a à peine le temps de comprendre ce qu'il arrive que la voiture la percute. Elle décède sur le coup,high unc conditions,high res conditions,neg conditions,-0.7,0.8,0.6,-1.0,0.9,-0.2,-0.8,0.9
19,<p id = 'frst'>Sara marche vers chez elle au milieu de la nuit.</p><p id = 'scnd'>Des voitures passent le long de la rue.</p><br><br><br><p id = 'prompt'>La phrase de résolution (en bleu) est plutôt positive ou négative?</p>,Sara marche vers chez elle au milieu de la nuit.,Des voitures passent le long de la rue.,no unc conditions,,neg conditions,-0.3,0.5,0.4,-0.1,0.2,0.1,-0.2,0.3
20,<p id = 'frst'>Erik vient d'acheter des sneakers super rares et il a hâte de voir la tête de ses amis quand il leur dira ce soir.</p><p id = 'scnd'>Les amis d'Erik adorent sa nouvelle paire et le complimentent sur son goût.</p><br><br><br><p id = 'prompt'>La phrase de résolution (en bleu) est plutôt positive ou négative?</p>,Erik vient d'acheter des sneakers super rares et il a hâte de voir la tête de ses amis quand il leur dira ce soir.,Les amis d'Erik adorent sa nouvelle paire et le complimentent sur son goût.,low unc conditions,high res conditions,pos conditions,0.8,0.7,-0.3,0.9,0.5,-0.5,-0.4,0.2
21,<p id = 'frst'>Alexandre joue à la loterie chaque semaine.</p><p id = 'scnd'>Il achète toujours ses tickets chez le même vendeur.</p><br><br><br><p id = 'prompt'>La phrase de résolution (en bleu) est plutôt positive ou négative?</p>,Alexandre joue à la loterie chaque semaine.,Il achète toujours ses tickets chez le même vendeur.,no unc conditions,,pos conditions,0.1,0.3,0.7,0.2,0.1,-0.5,-0.3,-0.2
22,<p id = 'frst'>Emma se balade dans la rue.</p><p id = 'scnd'>Elle porte des chaussures bleues.</p><br><br><br><p id = 'prompt'>La phrase de résolution (en bleu) est plutôt positive ou négative?</p>,Emma se balade dans la rue.,Elle porte des chaussures bleues.,no unc conditions,,neg conditions,0.1,-0.3,-0.5,0.0,-0.4,-0.6,-0.2,-0.1
23,<p id = 'frst'>Lucie marche dans la rue lorsqu'elle voit une personne au loin qui ressemble à son cousin Jérémy.</p><p id = 'scnd'>Lucie essaye d'attirer son attention en hurlant son prénom en vain.</p><br><br><br><p id = 'prompt'>La phrase de résolution (en bleu) est plutôt positive ou négative?</p>,Lucie marche dans la rue lorsqu'elle voit une personne au loin qui ressemble à son cousin Jérémy.,Lucie essaye d'attirer son attention en hurlant son prénom en vain.,low unc conditions,low res conditions,pos conditions,0.1,0.3,0.5,-0.4,0.7,0.2,-0.3,0.6
24,"<p id = 'frst'>Une personne toque à la porte de Jim et dépose un colis inattendu.</p><p id = 'scnd'>Jim ouvre sa porte curieux, mais en prenant le colis entre ses mains <br> il réalise qu'il est destiné à son voisin.</p><br><br><br><p id = 'prompt'>La phrase de résolution (en bleu) est plutôt positive ou négative?</p>",Une personne toque à la porte de Jim et dépose un colis inattendu.,"Jim ouvre sa porte curieux, mais en prenant le colis entre ses mains il réalise qu'il est destiné à son voisin.",high unc conditions,low res conditions,pos conditions,0.2,0.5,0.6,-0.3,0.4,-0.2,0.7,0.8
25,<p id = 'frst'>Julie reçoit un appel de l'hôpital pour lui rappeler qu'elle a un rendez-vous avec son dentiste.</p><p id = 'scnd'>Julie remercie le réceptionniste pour ce rappel.</p><br><br><br><p id = 'prompt'>La phrase de résolution (en bleu) est plutôt positive ou négative?</p>,Julie reçoit un appel de l'hôpital pour lui rappeler qu'elle a un rendez-vous avec son dentiste.,Julie remercie le réceptionniste pour ce rappel.,no unc conditions,,neg conditions,-0.2,0.3,0.1,0.6,0.2,-0.5,-0.4,-0.1
26,<p id = 'frst'>Tyler adore les sneakers.</p><p id = 'scnd'>Il décide d'en acheter une nouvelle paire.</p><br><br><br><p id = 'prompt'>La phrase de résolution (en bleu) est plutôt positive ou négative?</p>,Tyler adore les sneakers.,Il décide d'en acheter une nouvelle paire.,no unc conditions,,pos conditions,0.8,0.3,-0.9,0.6,0.5,-0.8,-0.7,-0.2
27,"<p id = 'frst'>Cam attend son bus en espérant qu'il ne sera pas trop plein.</p><p id = 'scnd'>Le bus qui arrive est hors-service, Cam continue à attendre.</p><br><br><br><p id = 'prompt'>La phrase de résolution (en bleu) est plutôt positive ou négative?</p>",Cam attend son bus en espérant qu'il ne sera pas trop plein.,"Le bus qui arrive est hors-service, Cam continue à attendre.",low unc conditions,low res conditions,neg conditions,-0.2,0.3,0.5,-0.6,0.4,0.2,-0.3,0.7
28,<p id = 'frst'>Emma est en train de courir dans un parc lorsqu'elle voit un homme au loin qui ressemble à son ami Marcus. <br> Elle commence à courir dans sa direction pour vérifier que ce soit bien lui.</p><p id = 'scnd'>Emma se rapproche de l'homme et crie: 'Marcus!'. <br> L'homme se retourne en sursautant et la salue chaleureusement.</p><br><br><br><p id = 'prompt'>La phrase de résolution (en bleu) est plutôt positive ou négative?</p>,Emma est en train de courir dans un parc lorsqu'elle voit un homme au loin qui ressemble à son ami Marcus. Elle commence à courir dans sa direction pour vérifier que ce soit bien lui.,Emma se rapproche de l'homme et crie: 'Marcus!'. L'homme se retourne en sursautant et la salue chaleureusement.,low unc conditions,high res conditions,pos conditions,0.2,0.5,0.7,0.8,0.6,-0.5,-0.8,0.4
29,<p id = 'frst'>Jade se balade avec une amie.</p><p id = 'scnd'>Elles parlent de leur journée.</p><br><br><br><p id = 'prompt'>La phrase de résolution (en bleu) est plutôt positive ou négative?</p>,Jade se balade avec une amie.,Elles parlent de leur journée.,no unc conditions,,pos conditions,0.3,0.1,-0.5,0.2,0.0,-0.6,-0.4,-0.7
30,"<p id = 'frst'>Lorenzo est à son restaurant favoris, il adore y aller car son ami Aaron est le chef. <br> Lorenzo a hâte de goûter ce qu'Aaron va lui préparer vu que chaque fois qu'il mange chez lui il découvre de nouvelles saveurs.</p><p id = 'scnd'>L'attente est plus longue que d'habitude, Lorenzo a très faim.</p><br><br><br><p id = 'prompt'>La phrase de résolution (en bleu) est plutôt positive ou négative?</p>","Lorenzo est à son restaurant favoris, il adore y aller car son ami Aaron est le chef. Lorenzo a hâte de goûter ce qu'Aaron va lui préparer vu que chaque fois qu'il mange chez lui il découvre de nouvelles saveurs.","L'attente est plus longue que d'habitude, Lorenzo a très faim.",low unc conditions,low res conditions,pos conditions,0.85,0.7,-0.6,-0.3,0.5,0.2,-0.4,0.1
31,<p id = 'frst'>Lukas a un nouveau 'match' sur Tinder.</p><p id = 'scnd'>Il ouvre l'application et découvre que c'est la jolie fille qu'il avait 'superliké' plus tôt dans la journée.</p><br><br><br><p id = 'prompt'>La phrase de résolution (en bleu) est plutôt positive ou négative?</p>,Lukas a un nouveau 'match' sur Tinder.,Il ouvre l'application et découvre que c'est la jolie fille qu'il avait 'superliké' plus tôt dans la journée.,high unc conditions,high res conditions,pos conditions,0.7,0.5,-0.3,0.9,0.8,-0.6,-0.5,0.7
32,"<p id = 'frst'>Comme tous les matins, Ana sort son chien.</p><p id = 'scnd'>Le soleil réchauffe sa peau.</p><br><br><br><p id = 'prompt'>La phrase de résolution (en bleu) est plutôt positive ou négative?</p>","Comme tous les matins, Ana sort son chien.",Le soleil réchauffe sa peau.,no unc conditions,,neg conditions,0.1,-0.3,-0.8,0.7,0.2,-0.9,-0.5,-0.4
33,"<p id = 'frst'>Mike est dans un supermarché lorsqu'un homme cagoulé et armé crie: 'Tout le monde au sol, ceci est un hold-up!'</p><p id = 'scnd'>Les jambes de Mike commencent à trembler.</p><br><br><br><p id = 'prompt'>La phrase de résolution (en bleu) est plutôt positive ou négative?</p>","Mike est dans un supermarché lorsqu'un homme cagoulé et armé crie: 'Tout le monde au sol, ceci est un hold-up!'",Les jambes de Mike commencent à trembler.,high unc conditions,low res conditions,neg conditions,-0.9,0.95,-0.8,-0.7,0.85,-0.6,-0.5,0.8
34,"<p id = 'frst'>Comme chaque matin, Eva se promène lorsqu'elle entend une personne crier des mots dans une langue étrangère derrière elle.</p><p id = 'scnd'>Elle se retourne et voit qu'il s'agit d'un homme bourré qui se met à vomir sur le trottoir.</p><br><br><br><p id = 'prompt'>La phrase de résolution (en bleu) est plutôt positive ou négative?</p>","Comme chaque matin, Eva se promène lorsqu'elle entend une personne crier des mots dans une langue étrangère derrière elle.",Elle se retourne et voit qu'il s'agit d'un homme bourré qui se met à vomir sur le trottoir.,low unc conditions,high res conditions,neg conditions,-0.2,0.5,0.6,-0.8,0.7,-0.3,0.5,0.4
35,<p id = 'frst'>Matéo est en retard pour aller au travail lorsque son téléphone sonne. <br> Ça alors! On l'appelle toujours au mauvais moment! <br> Il décroche nerveux et une voix froide lui dit qu'un de ses proches a été admis en réanimation à l'hôpital.</p><p id = 'scnd'>La voix dit à Matéo que son frère vient d'avoir un grave accident de voiture.</p><br><br><br><p id = 'prompt'>La phrase de résolution (en bleu) est plutôt positive ou négative?</p>,Matéo est en retard pour aller au travail lorsque son téléphone sonne. Ça alors! On l'appelle toujours au mauvais moment! Il décroche nerveux et une voix froide lui dit qu'un de ses proches a été admis en réanimation à l'hôpital.,La voix dit à Matéo que son frère vient d'avoir un grave accident de voiture.,high unc conditions,high res conditions,neg conditions,-0.8,0.9,0.5,-0.95,0.95,-0.2,-0.7,0.8
36,<p id = 'frst'>Lena fait son jogging dans un parc.</p><p id = 'scnd'>Elle croise beaucoup de gens qui font des pique-niques.</p><br><br><br><p id = 'prompt'>La phrase de résolution (en bleu) est plutôt positive ou négative?</p>,Lena fait son jogging dans un parc.,Elle croise beaucoup de gens qui font des pique-niques.,no unc conditions,,pos conditions,0.2,0.1,-0.8,0.5,0.3,-0.7,-0.5,-0.2
37,<p id = 'frst'>Mina vient de marcher sur quelque chose de collant.</p><p id = 'scnd'>Elle regarde sous sa chaussure et voit qu'un chewing-gum est collé à sa semelle.</p><br><br><br><p id = 'prompt'>La phrase de résolution (en bleu) est plutôt positive ou négative?</p>,Mina vient de marcher sur quelque chose de collant.,Elle regarde sous sa chaussure et voit qu'un chewing-gum est collé à sa semelle.,low unc conditions,high res conditions,neg conditions,-0.3,0.5,0.7,-0.4,0.6,-0.2,-0.5,0.3
38,"<p id = 'frst'>Nathan a joué à la loterie avec les mêmes numéros qu'il utilise à chaque fois. <br> Cette semaine il pourrait gagner 3 000 000 d'euros.</p><p id = 'scnd'>Nathan compare ses numéros avec ceux gagnants...et c'est le Jackpot!!! <br> Il a tout les numéros gagnants, il est maintenant millionnaire!</p><br><br><br><p id = 'prompt'>La phrase de résolution (en bleu) est plutôt positive ou négative?</p>",Nathan a joué à la loterie avec les mêmes numéros qu'il utilise à chaque fois. Cette semaine il pourrait gagner 3 000 000 d'euros.,"Nathan compare ses numéros avec ceux gagnants...et c'est le Jackpot!!! Il a tout les numéros gagnants, il est maintenant millionnaire!",low unc conditions,high res conditions,pos conditions,0.7,0.5,0.8,1.0,0.9,-0.9,-0.8,0.9
39,"<p id = 'frst'>Liam est à la station et il attend son train matinal.</p><p id = 'scnd'>Lorsque le train arrive, il monte dedans.</p><br><br><br><p id = 'prompt'>La phrase de résolution (en bleu) est plutôt positive ou négative?</p>",Liam est à la station et il attend son train matinal.,"Lorsque le train arrive, il monte dedans.",no unc conditions,,neg conditions,0.0,-0.3,0.2,0.1,0.1,-0.1,-0.3,-0.5
40,<p id = 'frst'>Sam est sur Tinder.</p><p id = 'scnd'>Il croise des profils différents et décide s'il souhaite les 'matcher'.</p><br><br><br><p id = 'prompt'>La phrase de résolution (en bleu) est plutôt positive ou négative?</p>,Sam est sur Tinder.,Il croise des profils différents et décide s'il souhaite les 'matcher'.,no unc conditions,,pos conditions,0.0,0.2,0.3,0.1,0.5,0.4,-0.2,-0.1
41,<p id = 'frst'>Ava a acheté un nouveau sac à main de luxe et elle a hâte de le montrer à ses copines.</p><p id = 'scnd'>Ava est très satisfaite de son achat et elle s'entraîne à defiler avec dans son salon comme font les stars.</p><br><br><br><p id = 'prompt'>La phrase de résolution (en bleu) est plutôt positive ou négative?</p>,Ava a acheté un nouveau sac à main de luxe et elle a hâte de le montrer à ses copines.,Ava est très satisfaite de son achat et elle s'entraîne à defiler avec dans son salon comme font les stars.,low unc conditions,low res conditions,pos conditions,0.8,0.7,-0.5,0.9,0.6,-0.6,-0.4,-0.2
42,<p id = 'frst'>Le bus de Cara est en retard.</p><p id = 'scnd'>Elle continue à attendre.</p><br><br><br><p id = 'prompt'>La phrase de résolution (en bleu) est plutôt positive ou négative?</p>,Le bus de Cara est en retard.,Elle continue à attendre.,low unc conditions,low res conditions,neg conditions,-0.4,0.3,0.5,-0.2,0.1,0.3,-0.2,-0.1
43,"<p id = 'frst'>Albert se dirige à un 'blind-date' que son meilleur ami lui a organisé. <br> À ce qu'il paraît la fille qu'il va rencontrer est magnifique.</p><p id = 'scnd'>Lorsque Albert la voit arriver, il est immédiatement sous le charme.</p><br><br><br><p id = 'prompt'>La phrase de résolution (en bleu) est plutôt positive ou négative?</p>",Albert se dirige à un 'blind-date' que son meilleur ami lui a organisé. À ce qu'il paraît la fille qu'il va rencontrer est magnifique.,"Lorsque Albert la voit arriver, il est immédiatement sous le charme.",high unc conditions,high res conditions,pos conditions,0.6,0.5,0.3,0.9,0.8,-0.2,-0.4,0.2
44,<p id = 'frst'>Mira rentre chez elle en pleine nuit vers 3 heures du matin lorsqu'elle entend une moto arriver rapidement dans son dos et des cris stridents.</p><p id = 'scnd'>Elle se retourne pour regarder ce qu'il se passe.</p><br><br><br><p id = 'prompt'>La phrase de résolution (en bleu) est plutôt positive ou négative?</p>,Mira rentre chez elle en pleine nuit vers 3 heures du matin lorsqu'elle entend une moto arriver rapidement dans son dos et des cris stridents.,Elle se retourne pour regarder ce qu'il se passe.,high unc conditions,low res conditions,neg conditions,-0.7,0.9,0.5,-0.3,0.6,0.8,-0.2,0.7
45,<p id = 'frst'>Arthur fait la file à la banque pour retirer de l'argent quand un homme cagoulé et armé rentre dans le bâtiment.</p><p id = 'scnd'>Arthur lâche un cri strident et se fait immédiatement tirer dessus. Il meurt avant d'arriver aux urgences</p><br><br><br><p id = 'prompt'>La phrase de résolution (en bleu) est plutôt positive ou négative?</p>,Arthur fait la file à la banque pour retirer de l'argent quand un homme cagoulé et armé rentre dans le bâtiment.,Arthur lâche un cri strident et se fait immédiatement tirer dessus. Il meurt avant d'arriver aux urgences,high unc conditions,high res conditions,neg conditions,-0.8,0.9,0.7,-1.0,1.0,-0.5,-0.8,0.6
46,"<p id = 'frst'>Max a un nouveau match sur Tinder!</p><p id = 'scnd'>Il tente d'ouvrir l'application pour voir de qui il s'agit, mais son téléphone reste figé sur la page d'accueil.</p><br><br><br><p id = 'prompt'>La phrase de résolution (en bleu) est plutôt positive ou négative?</p>",Max a un nouveau match sur Tinder!,"Il tente d'ouvrir l'application pour voir de qui il s'agit, mais son téléphone reste figé sur la page d'accueil.",high unc conditions,low res conditions,pos conditions,0.7,0.6,-0.3,-0.4,0.5,0.2,-0.5,0.4
47,<p id = 'frst'>C'est la veille du nouvel an et Mike entend des feux d'artifice toute la nuit.</p><p id = 'scnd'>Il met des bouchons d'oreilles pour dormir.</p><br><br><br><p id = 'prompt'>La phrase de résolution (en bleu) est plutôt positive ou négative?</p>,C'est la veille du nouvel an et Mike entend des feux d'artifice toute la nuit.,Il met des bouchons d'oreilles pour dormir.,no unc conditions,,neg conditions,0.3,0.7,-0.2,-0.1,0.2,-0.5,0.6,-0.1
48,<p id = 'frst'>Matéo est en train de courir pour attraper son bus lorsque son téléphone sonne. <br> Une voix glaciale lui dit qu'un de ses proches a eu un accident.</p><p id = 'scnd'>Matéo s'arrête et le bus lui file sous le nez. Il demande qui est à l'appareil mais la ligne se coupe.</p><br><br><br><p id = 'prompt'>La phrase de résolution (en bleu) est plutôt positive ou négative?</p>,Matéo est en train de courir pour attraper son bus lorsque son téléphone sonne. Une voix glaciale lui dit qu'un de ses proches a eu un accident.,Matéo s'arrête et le bus lui file sous le nez. Il demande qui est à l'appareil mais la ligne se coupe.,high unc conditions,low res conditions,neg conditions,-0.8,0.9,0.7,-0.7,0.8,0.9,-0.5,0.8
49,"<p id = 'frst'>En sortant de l'école, Justine réalise qu'elle a oublié son téléphone en classe.</p><p id = 'scnd'>Elle décide de retourner à l'école pour le récupérer.</p><br><br><br><p id = 'prompt'>La phrase de résolution (en bleu) est plutôt positive ou négative?</p>","En sortant de l'école, Justine réalise qu'elle a oublié son téléphone en classe.",Elle décide de retourner à l'école pour le récupérer.,no unc conditions,,neg conditions,-0.3,0.5,0.4,0.2,0.3,-0.2,-0.5,0.1
50,"<p id = 'frst'>Bob regarde une finale de Coupe du Monde, son équipe préférée a des chances de gagner!</p><p id = 'scnd'>Bob ne quitte pas l'écran des yeux, jusqu'au moment où son équipe devient enfin Championne du Monde!<br> <br></p><br><br><br><p id = 'prompt'>La phrase de résolution (en bleu) est plutôt positive ou négative?</p>","Bob regarde une finale de Coupe du Monde, son équipe préférée a des chances de gagner!","Bob ne quitte pas l'écran des yeux, jusqu'au moment où son équipe devient enfin Championne du Monde!",high unc conditions,high res conditions,pos conditions,0.8,0.7,0.3,0.95,0.9,-0.8,-0.9,0.5
